id,name,region,category_level_1,category_level_2,products
鄂AIQ-2024-001,武汉达梦数据技术有限公司,东湖高新区,基础资源类,数据,主要包括云计算系列和大数据系列产品，将云计算平台与达梦自研的国产关系数据库深度融合，为用户提供数据应用、数据治理、数据存储、数据采集等方面的产品
鄂AIQ-2024-050,武汉达梦数据库股份有限公司,东湖高新区,基础资源类,数据,主要为客户提供数据采集、存储、治理、分析和应用等方面的技术，主要产品包括达梦数据库管理系统、达梦数据共享集群DMDCS、达梦分布式数据库DMDPC
鄂AIQ-2024-074,武汉索元数据信息有限公司,东湖高新区,基础资源类,数据,汇聚全量产业大数据，结合独有算法，通过湖仓一体的大数据存储和多源数据融合的方式打造城市级情报分析平台，主要产品“Outlier™”“百业先知™”
鄂AIQ-2024-002,武汉数智科技有限公司,东湖高新区,基础资源类,算力,围绕“双中心”AI+HPC算力底座，建设400P Flops AI算力和4P Flops HPC算力的硬件服务设施，面向行业开放数据、算法和算力，支撑大型数据和算力需求
鄂AIQ-2024-004,武汉长江计算科技有限公司,东湖高新区,基础资源类,算力,作为算力基础设施国家队，为客户提供多样化算力基础设施产品，包括通用服务器、AI服务器、存储服务器、桌面终端等
鄂AIQ-2024-003,中金数据（武汉）超算技术有限公司,东西湖区,基础资源类,算力,提供企业级“专有云”“混合云”等多元化云服务解决方案，运算能力达100万亿次，存储能力达10PB，平台运算能力达千万亿次
鄂AIQ-2024-005,武汉迈异信息科技有限公司,洪山区,基础资源类,算力,首创分布式云网融合技术架构，部署算力统一运营平台，实现异构算力资源统一纳管，提供算力、AI能力接入、模型训练、推理服务等
鄂AIQ-2024-006,武汉人工智能研究院,东湖高新区,基础资源类,算法框架及平台,“紫东太初3.0”大模型、“江城智算”AI内容创作平台、“百变悟空”AI作画平台
鄂AIQ-2024-051,武汉长江通信产业集团股份有限公司,东湖高新区,技术类,关键通用技术与产品,DS知识图谱构建及认知智能服务平台软件、DS人工智能应用服务平台软件、知识图谱应用软件
鄂AIQ-2024-052,武汉大水云科技有限公司,东湖高新区,技术类,关键通用技术与产品,武大AiFlow视觉测流产品深度融合计算机视觉技术、机器学习多种视觉图像流算法
鄂AIQ-2024-106,武汉智启特人工智能科技有限公司,东湖高新区,技术类,关键通用技术与产品,AI创作平台网页系统、智能体AI学术助手网页系统、智能体AI绘图网页系统
鄂AIQ-2024-049,中科心语（武汉）科技有限公司,东湖高新区,技术类,关键领域技术与产品,以语言AI为核心，打造数据加工平台、飞译翻译平台、洞察分析平台、语言AI技术和数据服务
鄂AIQ-2024-057,武汉大晟极科有限公司,东湖高新区,技术类,关键领域技术与产品,大数据感知融合应用平台、语言指令与交互系统、大模型AI数字人平台
鄂AIQ-2024-105,武汉摩序科技有限公司,东湖高新区,技术类,关键领域技术与产品,一种移动式巡检机器人、基于机器视觉的打磨机器人、智能巡检一体化系统
鄂AIQ-2024-007,东云智算（武汉）计算技术有限公司,东湖高新区,技术类,支撑技术与产品,OMAI深度学习平台、OMAI大模型聚合平台、OMLLM大模型算法建模软件
鄂AIQ-2024-009,中治武勘智城（武汉）工程技术有限公司,东湖高新区,技术类,支撑技术与产品,中治武勘智城物联网平台、工业三维可视化平台、工厂数字孪生系统
鄂AIQ-2024-046,武汉智链云科技有限公司,东湖高新区,技术类,支撑技术与产品,云原生Kubernetes大数据平台、云原生大型语言模型微服务调度平台
鄂AIQ-2024-058,武汉慧联无限科技有限公司,东湖高新区,技术类,支撑技术与产品,云边协同边缘设备接入与计算平台、AI算法模型调度平台、数字孪生平台
鄂AIQ-2024-069,武汉科讯智园科技服务有限公司,东湖高新区,技术类,支撑技术与产品,企业智能园区平台、园区巡检AR眼镜、园区巡检四足机器人
鄂AIQ-2024-083,武汉噢易云计算股份有限公司,东湖高新区,技术类,支撑技术与产品,噢易云计算教育桌面云软件、噢易多架构融合桌面云平台、噢易分布式桌面云系统
鄂AIQ-2024-089,武汉数聚速达网络科技有限责任公司,东湖高新区,技术类,支撑技术与产品,AI视频预警分析系统、无人机全自动巡检系统、AI智能识别软件
鄂AIQ-2024-010,武汉兴和云网科技股份有限公司,洪山区,技术类,支撑技术与产品,AI人工智能算力系统、兴和HPC智能算力平台、YOUBOX人工智能深度学习云平台
鄂AIQ-2024-008,宝信软件（武汉）有限公司,青山区,技术类,支撑技术与产品,宝信工业互联网平台、宝信数字孪生平台、工业大数据智能分析平台
鄂AIQ-2025-002,中软信通（宜昌）科技有限公司,宜昌西陵区,技术类,支撑技术与产品,物联网超融合云平台、生态物联网感知系统、视频超融合平台系统
鄂AIQ-2024-022,武汉光庭信息技术股份有限公司,东湖高新区,产品应用服务类,产品与服务,光庭智能驾驶域控平台、智能座舱域控平台，形成以智能座舱、智能驾驶、智能车云、新能源为核心的综合解决方案
鄂AIQ-2024-094,武汉中海庭数据技术有限公司,东湖高新区,产品应用服务类,产品与服务,自动驾驶地图数据采集、点云感知与图像融合、道路要素智能提取
鄂AIQ-2024-044,武汉淼森科技股份有限公司,东湖高新区,产品应用服务类,产品与服务,智能喷涂机器人、虚拟仿真模拟器，采用VR仿真技术实现智能化喷涂训练
鄂AIQ-2024-098,武汉格蓝若智能科技股份有限公司,东湖高新区,产品应用服务类,产品与服务,“劳动者1号”人形机器人、超精密运动控制系统
鄂AIQ-2024-018,语联讯（武汉）信息技术有限公司,东湖高新区,产品应用服务类,产品与服务,语言智能平台、AI翻译引擎、语音识别与自然语言处理系统
鄂AIQ-2024-043,武汉泽天科技有限公司,东湖高新区,产品应用服务类,产品与服务,浮点数值计算平台、通用并行计算框架、AI算法引擎
鄂AIQ-2024-042,湖北中文在线数字出版有限公司,汉阳区,产品应用服务类,产品与服务,数字出版管理平台、智能内容生产系统、多媒体融合发布系统
鄂AIQ-2024-031,传神语联网网络科技股份有限公司,东湖高新区,产品应用服务类,产品与服务,机器翻译平台、智能语音交互系统、跨语言信息处理技术
鄂AIQ-2024-056,武汉亚为电子科技有限公司,东湖高新区,产品应用服务类,产品与服务,工业自动化控制系统、智能制造执行系统、工业数据采集与分析平台
鄂AIQ-2024-075,武汉纬创软件有限公司,东湖高新区,产品应用服务类,产品与服务,人工智能数据处理平台、智能运维管理系统、AI视觉检测系统
鄂AIQ-2024-001,武汉开目信息技术股份有限公司,东湖高新区,产品应用服务类,产品与服务,KMLP工业设计平台、工艺设计仿真系统、三维工艺规划软件
鄂AIQ-2024-103,武汉雷可达科技有限公司,东湖高新区,产品应用服务类,产品与服务,雷达信号处理系统、智能感知系统、目标识别与跟踪软件
鄂AIQ-2024-080,湖北省电子科学研究所有限公司,武昌区,产品应用服务类,产品与服务,智能监测预警系统、智能共享调度系统、智慧物流平台
鄂AIQ-2024-025,湖北亿立智能科技股份有限公司,宜昌市,产品应用服务类,产品与服务,智能水位监测系统、智能型水文传感设备、智慧水务解决方案
鄂AIQ-2024-099,武汉华芯自动化股份有限公司,江夏区,产品应用服务类,产品与服务,高精度工业控制系统、智能检测设备、自动化生产线解决方案
鄂AIQ-2024-020,艾普工华科技（武汉）有限公司,东湖高新区,产品应用服务类,行业应用,智能工厂制造运营管理平台、智能排程系统、智能制造执行系统
鄂AIQ-2024-038,武汉必盈生物科技股份有限公司,东湖高新区,产品应用服务类,行业应用,即时3D外固定打印系统、3D打印头的旋转驱动装置、个性化支具设计与切片系统
鄂AIQ-2024-077,武汉益模科技股份有限公司,东湖高新区,产品应用服务类,行业应用,益模铸造成型质量缺陷检测系统、益模线体制造生产系统、益模模具智能制造系统
鄂AIQ-2024-104,武汉森赛睿科技有限公司,东湖高新区,产品应用服务类,行业应用,机器视觉自动化检测筛选系统、一种基于机器视觉的不良品检测装置、AI视觉训练平台
鄂AIQ-2024-017,吉奥时空信息技术股份有限公司,东湖高新区,产品应用服务类,行业应用,吉奥地理智能服务平台、吉奥数治平台人工智能中心系统、吉奥城市三维模型软件
鄂AIQ-2024-045,武汉瑞得软件产业有限公司,东湖高新区,产品应用服务类,行业应用,瑞得档案数字化加工平台、瑞得人脸识别和实操APP、瑞得特种设备安全监察深化应用服务平台
鄂AIQ-2024-078,武汉数博科技有限责任公司,东湖高新区,产品应用服务类,行业应用,机器学习服务系统、知识图谱分析系统、舆情预警分析系统
鄂AIQ-2024-088,瑞卡易充（武汉）互联网技术有限公司,东湖高新区,产品应用服务类,行业应用,瑞卡智垒安全加固卫士系统、瑞卡多维数据智能治理管理系统、瑞卡全渠道智能客服管理系统
鄂AIQ-2024-030,敏博科技（武汉）有限公司,洪山区,产品应用服务类,行业应用,小石大模型系统，MemStor共享分布式存储系统
鄂AIQ-2025-006,湖北国菱计算机科技有限公司,荆州松滋市,产品应用服务类,行业应用,党建引领基层社会治理综合服务平台街道办平台、数智人社APP、数智街道APP
鄂AIQ-2024-073,敦和安全科技（武汉）有限公司,东湖高新区,产品应用服务类,行业应用,物联网数据安全传输系统、物联网固件威胁检测系统、基于云服务的数据安全传输系统
鄂AIQ-2024-012,中科星图慧安科技有限公司,青山区,产品应用服务类,行业应用,公共安全知识库多源异构空天大数据管理系统、公共安全态势分析系统、数字孪生时空分析系统
鄂AIQ-2024-016,湖北公众信息产业有限责任公司,洪山区,产品应用服务类,行业应用,IDC智慧园区管理平台、智慧社区标准化平台、AI人员行为识别报警系统
鄂AIQ-2024-095,智网安云（武汉）信息技术有限公司,东西湖区,产品应用服务类,行业应用,基于大数据的智能感知和精准防护技术的电力网络安全联动防护平台、智网安云安全大数据分析与响应平台
鄂AIQ-2024-035,湖北泰跃卫星技术发展股份有限公司,洪山区,产品应用服务类,行业应用,泰跃星网AI智能一体机产品、数字乡村平台、泰乡链APP软件
鄂AIQ-2024-087,凡耕（湖北）互联科技有限公司,硚口区,产品应用服务类,行业应用,生态环保大数据分析与人工智能融合平台、乡村建设监测大数据可视化平台、乡村数字化基层治理信息化平台
鄂AIQ-2025-005,武汉思众空间信息科技有限公司,武昌区,产品应用服务类,行业应用,基于自动识别技术的农作物种植面积核查系统、思众农业信息采集AGI、农业统计遥感调查系统
鄂AIQ-2024-034,武汉英泰斯特电子技术有限公司,东湖高新区,产品应用服务类,行业应用,新能源车辆符合性过检数据仿真软件、实现异常掉电处理的车载数据采集终端
鄂AIQ-2024-036,武汉微创光电股份有限公司,东湖高新区,产品应用服务类,行业应用,微创光电智慧高速AI视频检测平台、智慧隧道运营平台、一体化智能车道管控平台
鄂AIQ-2024-047,武汉中科通达高新技术股份有限公司,东湖高新区,产品应用服务类,行业应用,智周灵犀平台、智能交通综合管控平台、智瞳CitmsVR车辆识别系统
鄂AIQ-2024-072,易智航（武汉）科技有限公司,东湖高新区,产品应用服务类,行业应用,航道综合监测系统、航道综合分析决策系统、航标物联网终端通信系统
鄂AIQ-2024-055,武汉未来幻影科技有限公司,东湖高新区,产品应用服务类,行业应用,幻影智能模拟驾驶系统、驾驶考试智能模拟系统、银河智慧AI教练GNSS软件
鄂AIQ-2024-019,武汉深捷科技股份有限公司,江岸区,产品应用服务类,行业应用,数字孪生智慧网联泊车云管理平台、深捷科技城市静态交通大数据分析系统
鄂AIQ-2024-029,中交武汉智行国际工程咨询有限公司,经开区,产品应用服务类,行业应用,中交桥梁数据库系统、智慧缆索数字化平台、混凝土节段梁数字化平台
鄂AIQ-2024-065,湖北凯乐仕通达科技有限公司,东湖高新区,产品应用服务类,行业应用,RCS-智能多设备集群调度系统、TM3-超大规模多穿库调度控制系统
鄂AIQ-2024-071,武汉高达软件系统有限公司,洪山区,产品应用服务类,行业应用,GuthonaPaaS业务流程智能化促进平台、供应链集成管理和物流大数据应用智能平台
鄂AIQ-2024-097,湖北普罗格科技集团股份有限公司,硚口区,产品应用服务类,行业应用,阿普云—一体化解决方案平台、数字孪生智慧物流管理系统平台、智能四向穿梭车
鄂AIQ-2024-059,湖北福鑫科创信息技术有限公司,东湖高新区,产品应用服务类,行业应用,Fusion医助大模型、内涵质控与医院信息系统的对接平台、病历内涵全流程AI质控系统
鄂AIQ-2024-060,武汉兰丁智能医学股份有限公司,东湖高新区,产品应用服务类,行业应用,细胞检测识别系统、细胞病理学快速高精度数字化系统、病理组织图像扫描分析系统
鄂AIQ-2024-062,武汉深智云影科技有限公司,东湖高新区,产品应用服务类,行业应用,数字化心脏超声医疗图像数据分析平台、AI Agents 开发运营一体化平台
鄂AIQ-2024-068,武汉千屏影像技术有限责任公司,东湖高新区,产品应用服务类,行业应用,CP181病理智能化管理系统、ESD图像处理软件系统、组织病变区域图像辅助复原系统
鄂AIQ-2025-004,武汉源启科技股份有限公司,东湖高新区,产品应用服务类,行业应用,分布式数据服务中间件软件、源启互联网医院系统、源启智慧服务中台
鄂AIQ-2024-013,中建三局智能技术有限公司,东湖高新区,产品应用服务类,行业应用,中建三局智瓴平台、中建三局智瓴智慧停车平台
鄂AIQ-2024-015,武汉依迅北斗时空技术股份有限公司,东湖高新区,产品应用服务类,行业应用,数字孪生平台与LBS位置服务系统、智慧环卫综合监管智能视频系统
鄂AIQ-2024-021,武汉天远视科技有限责任公司,东湖高新区,产品应用服务类,行业应用,AI3D-SAT软件、视云3D模型渲染引擎软件、天慧图实景三维展示平台
鄂AIQ-2024-023,武汉众智数字技术有限公司,东湖高新区,产品应用服务类,行业应用,烽火众智公安智察系统、烽火众智数据标签平台、公安知识图谱平台
鄂AIQ-2024-024,武汉智博创享科技股份有限公司,东湖高新区,产品应用服务类,行业应用,智慧市政设施管理系统、智慧城市地质信息系统、ZGIS智慧园区数字孪生平台
鄂AIQ-2024-037,武汉天际航信息科技股份有限公司,东湖高新区,产品应用服务类,行业应用,实景三维智能处理系统、天际航遥感图像智能处理系统、天际航AR增强现实系统
鄂AIQ-2024-040,武汉智觉空间信息技术有限公司,东湖高新区,产品应用服务类,行业应用,智觉空间实景编辑软件、智觉空间地理实体建模软件、智觉空间航空影像处理系统
鄂AIQ-2024-061,武汉智图云起科技有限公司,东湖高新区,产品应用服务类,行业应用,地质大数据共享与应用平台、三维城市地质信息系统、三维地质模型自动构建系统
鄂AIQ-2024-064,武汉华信数据系统有限公司,东湖高新区,产品应用服务类,行业应用,智慧水厂生产信息化管理系统、厂网河一体化管控平台系统、华信GPU图像识别软件
鄂AIQ-2024-063,武汉众智鸿图科技有限公司,东湖高新区,产品应用服务类,行业应用,HopeMap城市基础设施智能巡检系统、HopeMap管网数据模型算法软件
鄂AIQ-2024-066,武汉地大信息工程股份有限公司,东湖高新区,产品应用服务类,行业应用,infoearth iWiseModel 海量三维重建超算平台、地质灾害预警与快速评估模型集成软件
鄂AIQ-2024-070,武汉光谷信息技术股份有限公司,东湖高新区,产品应用服务类,行业应用,UTS-UTD虚拟仿真数字孪生平台、光谷信息人工智能平台、光谷信息AI大模型知识管理平台
鄂AIQ-2024-081,武汉云图互联科技股份有限公司,东湖高新区,产品应用服务类,行业应用,智慧社区管理平台、地下管线综合管理系统、海上人员动态管理系统
鄂AIQ-2024-082,武汉中地数码科技有限公司,东湖高新区,产品应用服务类,行业应用,MapGIS三维管线建模工具软件、MapGIS城市信息模型（CIM）地下空间平台
鄂AIQ-2024-090,达昌技术发展有限公司,东湖高新区,产品应用服务类,行业应用,达昌智慧消防管理运维一体化平台、达昌智慧场馆平台、达昌云社区平台
鄂AIQ-2024-092,武汉飞越科技有限责任公司,东湖高新区,产品应用服务类,行业应用,飞越智能录音系统、飞越智能降噪软件、飞越融合数据管理系统
鄂AIQ-2024-093,武汉禾湖实业有限公司,东湖高新区,产品应用服务类,行业应用,北斗定位管理数据分析系统、火电数字化预警防控系统、电力数字孪生智能管理系统
鄂AIQ-2024-026,武汉市威鹏科技有限公司,洪山区,产品应用服务类,行业应用,威鹏人工智能开发平台、威鹏图像智能识别分析系统、人工智能语音信息定位系统
鄂AIQ-2024-048,武汉易米景科技有限公司,汉阳区,产品应用服务类,行业应用,MapSense空间数据智能感知系统、PixelStudio遥感智能化处理平台、易米景空间数据处理虚拟仿真教学云平台
鄂AIQ-2024-054,湖北省泛星信息技术有限公司,汉阳区,产品应用服务类,行业应用,时空大数据平台、农业遥感监测服务平台、水利遥感监测服务平台、环保遥感监测服务平台
鄂AIQ-2024-067,飞燕航空遥感技术有限公司,武昌区,产品应用服务类,行业应用,飞燕高分遥感影像处理及AI解译软件、飞燕滑坡地质灾害监测预警系统、飞燕草原生态遥感监测预警系统
鄂AIQ-2024-084,湖北中科网络科技股份有限公司,武昌区,产品应用服务类,行业应用,中科网络数据资源管理系统、中科网络工程项目管理软件、中科智慧园区综合管理平台
鄂AIQ-2024-028,宜昌云启互联技术中心有限公司,宜昌高新区,产品应用服务类,行业应用,数字园区可视化云平台、数字园区运营管理系统、智慧社区门禁出入管理系统
鄂AIQ-2024-079,湖北鲲鹏芯科技有限公司,襄阳樊城区,产品应用服务类,行业应用,AI摄像头嵌入式行为监控软件、物联设备AI监控云平台、人工智能数据分析评估软件
鄂AIQ-2024-032,武汉百智诚远科技有限公司,东湖高新区,产品应用服务类,行业应用,起诉状智能生成系统、文书智能生成系统、诉讼服务智能窗口云平台
鄂AIQ-2024-014,武汉雷特科技有限公司,东湖高新区,产品应用服务类,行业应用,智能土壤样品库管理系统软件、生态环境噪声监测系统、水生生物多样性监测系统
鄂AIQ-2024-027,武汉坤达安信息安全技术有限公司,江汉区,产品应用服务类,行业应用,渔政智能监管及预警平台、全域视频智能感知系统、智慧国土监管预警平台
鄂AIQ-2024-053,武汉优品楚鼎科技有限公司,东湖高新区,产品应用服务类,行业应用,魔方大师兄智能投顾软件、互联网投顾平台系统、优品智能化投顾中台
鄂AIQ-2024-011,湖北华中电力科技开发有限责任公司,东湖高新区,产品应用服务类,行业应用,人工智能算法准确度自动化测试系统、人工智能和模式识别中间画图像优化方法系统
鄂AIQ-2024-033,武汉烽火富华电气有限责任公司,东湖高新区,产品应用服务类,行业应用,智能网联汽车充电桩应用管理系统软件、智能充放电服务系统、智能配用电系统
鄂AIQ-2024-039,武汉智凯科技有限公司,东湖高新区,产品应用服务类,行业应用,燃煤热值智能检测分析系统、火电厂燃煤智能管控系统、机器人智能巡检平台
鄂AIQ-2024-076,武汉时代地智科技股份有限公司,东湖高新区,产品应用服务类,行业应用,IWD智能随钻决策系统、基于智能分析的勘探作业信息一体化应用平台
鄂AIQ-2024-086,易睿德（武汉）物联网有限公司,东湖高新区,产品应用服务类,行业应用,EasyTable智慧能源管理系统、EasyTable智慧数据采集系统、EasyTable储能EMS系统
鄂AIQ-2024-091,武汉盛华伟业科技股份有限公司,东湖高新区,产品应用服务类,行业应用,连续油管作业工程预警系统、压裂窜扰实时预警系统、地震随钻校正与地质风险智能识别系统
鄂AIQ-2024-102,武汉华中思能科技有限公司,东湖高新区,产品应用服务类,行业应用,四足机器人智能识别算法软件、四足机器人巡检管理平台、发电企业运行参数智能预警平台
鄂AIQ-2024-041,武汉熠腾科技有限公司,东湖高新区,产品应用服务类,行业应用,石窟寺壁画病害图采集和管理系统、博物馆检测数据管理系统、熠腾VR移动石窟系统
鄂AIQ-2024-100,武汉理工数字传播工程有限公司,东湖高新区,产品应用服务类,行业应用,BOOKSGPT大模型、RAYS出版融合云平台、AI编辑工作室
鄂AIQ-2024-085,武汉微派网络科技有限公司,东湖高新区,产品应用服务类,行业应用,基于人工智能识别的网络游戏交互方法及智能游戏平台、基于多模态的未成年人识别方法及系统
鄂AIQ-2024-096,武汉微创新信息技术有限公司,东湖高新区,产品应用服务类,行业应用,教学质量监测与评价管理平台、教务教学一体化管理平台、教师工作中心平台
鄂AIQ-2024-101,武汉东信同邦信息技术有限公司,东湖高新区,产品应用服务类,行业应用,混合式教学终端嵌入式管理系统、多媒体智慧终端嵌入式管理系统、智慧复眼AI摄像机软件
鄂AIQ-2025-003,武汉武水泰科智能科技有限公司,东湖高新区,产品应用服务类,行业应用,灌区动态配水算法及水资源调度模型、AI防洪决策系统、数字孪生水动力平台
